algorithm,operation,message_bytes,concurrency,cpu_ghz,aesni,avx2,neon,machine_id,os_name,containerized,latency_ms,throughput_ops,crypto_type,correctness,timestamp,notes,trial_id
BIKE-L1,keygen,0,1,3.5,1,1,0,ip-172-31-17-37,linux,0,1.8685,535.19,KEM,True,2025-11-21T22:08:28.982949,,1
BIKE-L1,keygen,0,1,3.5,1,1,0,ip-172-31-17-37,linux,0,0.2884,3467.27,KEM,True,2025-11-21T22:08:28.983314,,2
BIKE-L1,keygen,0,1,3.5,1,1,0,ip-172-31-17-37,linux,0,0.2899,3449.12,KEM,True,2025-11-21T22:08:28.983642,,3
BIKE-L1,keygen,0,1,3.5,1,1,0,ip-172-31-17-37,linux,0,0.2945,3395.48,KEM,True,2025-11-21T22:08:28.983964,,4
BIKE-L1,keygen,0,1,3.5,1,1,0,ip-172-31-17-37,linux,0,0.2524,3962.14,KEM,True,2025-11-21T22:08:28.984241,,5
BIKE-L1,keygen,0,16,3.5,1,1,0,ip-172-31-17-37,linux,0,0.2495,4008.39,KEM,True,2025-11-21T22:08:28.984514,,6
BIKE-L1,keygen,0,16,3.5,1,1,0,ip-172-31-17-37,linux,0,0.278,3597.07,KEM,True,2025-11-21T22:08:28.984816,,7
BIKE-L1,keygen,0,16,3.5,1,1,0,ip-172-31-17-37,linux,0,0.2498,4002.47,KEM,True,2025-11-21T22:08:28.985089,,8
BIKE-L1,keygen,0,16,3.5,1,1,0,ip-172-31-17-37,linux,0,0.2483,4027.53,KEM,True,2025-11-21T22:08:28.985359,,9
BIKE-L1,keygen,0,16,3.5,1,1,0,ip-172-31-17-37,linux,0,0.2636,3793.4,KEM,True,2025-11-21T22:08:28.985645,,10
BIKE-L1,keygen,0,64,3.5,1,1,0,ip-172-31-17-37,linux,0,0.2501,3998.58,KEM,True,2025-11-21T22:08:28.985918,,11
BIKE-L1,keygen,0,64,3.5,1,1,0,ip-172-31-17-37,linux,0,0.251,3984.54,KEM,True,2025-11-21T22:08:28.986191,,12
BIKE-L1,keygen,0,64,3.5,1,1,0,ip-172-31-17-37,linux,0,0.2586,3867.6,KEM,True,2025-11-21T22:08:28.986472,,13
BIKE-L1,keygen,0,64,3.5,1,1,0,ip-172-31-17-37,linux,0,0.2627,3806.0,KEM,True,2025-11-21T22:08:28.986761,,14
BIKE-L1,keygen,0,64,3.5,1,1,0,ip-172-31-17-37,linux,0,0.2484,4025.05,KEM,True,2025-11-21T22:08:28.987032,,15
BIKE-L1,keygen,1024,1,3.5,1,1,0,ip-172-31-17-37,linux,0,0.2485,4024.58,KEM,True,2025-11-21T22:08:28.987303,,16
BIKE-L1,keygen,1024,1,3.5,1,1,0,ip-172-31-17-37,linux,0,0.2475,4040.24,KEM,True,2025-11-21T22:08:28.987585,,17
BIKE-L1,keygen,1024,1,3.5,1,1,0,ip-172-31-17-37,linux,0,0.2477,4037.39,KEM,True,2025-11-21T22:08:28.987855,,18
BIKE-L1,keygen,1024,1,3.5,1,1,0,ip-172-31-17-37,linux,0,0.4456,2244.38,KEM,True,2025-11-21T22:08:28.988327,,19
BIKE-L1,keygen,1024,1,3.5,1,1,0,ip-172-31-17-37,linux,0,0.2685,3724.67,KEM,True,2025-11-21T22:08:28.988622,,20
BIKE-L1,keygen,1024,16,3.5,1,1,0,ip-172-31-17-37,linux,0,0.528,1894.1,KEM,True,2025-11-21T22:08:28.989174,,21
BIKE-L1,keygen,1024,16,3.5,1,1,0,ip-172-31-17-37,linux,0,0.2883,3468.49,KEM,True,2025-11-21T22:08:28.989485,,22
BIKE-L1,keygen,1024,16,3.5,1,1,0,ip-172-31-17-37,linux,0,0.262,3817.39,KEM,True,2025-11-21T22:08:28.989769,,23
BIKE-L1,keygen,1024,16,3.5,1,1,0,ip-172-31-17-37,linux,0,0.2485,4024.39,KEM,True,2025-11-21T22:08:28.990039,,24
BIKE-L1,keygen,1024,16,3.5,1,1,0,ip-172-31-17-37,linux,0,0.2479,4034.45,KEM,True,2025-11-21T22:08:28.990309,,25
BIKE-L1,keygen,1024,64,3.5,1,1,0,ip-172-31-17-37,linux,0,0.2823,3542.22,KEM,True,2025-11-21T22:08:28.990624,,26
BIKE-L1,keygen,1024,64,3.5,1,1,0,ip-172-31-17-37,linux,0,0.2558,3908.82,KEM,True,2025-11-21T22:08:28.990906,,27
BIKE-L1,keygen,1024,64,3.5,1,1,0,ip-172-31-17-37,linux,0,0.2884,3466.95,KEM,True,2025-11-21T22:08:28.991217,,28
BIKE-L1,keygen,1024,64,3.5,1,1,0,ip-172-31-17-37,linux,0,0.4241,2358.03,KEM,True,2025-11-21T22:08:28.991664,,29
BIKE-L1,keygen,1024,64,3.5,1,1,0,ip-172-31-17-37,linux,0,0.2495,4007.84,KEM,True,2025-11-21T22:08:28.991935,,30
BIKE-L1,encap,0,1,3.5,1,1,0,ip-172-31-17-37,linux,0,0.3731,2680.57,KEM,True,2025-11-21T22:08:28.992341,,31
BIKE-L1,encap,0,1,3.5,1,1,0,ip-172-31-17-37,linux,0,0.3059,3269.16,KEM,True,2025-11-21T22:08:28.992673,,32
BIKE-L1,encap,0,1,3.5,1,1,0,ip-172-31-17-37,linux,0,0.3272,3056.22,KEM,True,2025-11-21T22:08:28.993024,,33
BIKE-L1,encap,0,1,3.5,1,1,0,ip-172-31-17-37,linux,0,0.4049,2470.04,KEM,True,2025-11-21T22:08:28.993452,,34
BIKE-L1,encap,0,1,3.5,1,1,0,ip-172-31-17-37,linux,0,0.299,3344.01,KEM,True,2025-11-21T22:08:28.993775,,35
BIKE-L1,encap,0,16,3.5,1,1,0,ip-172-31-17-37,linux,0,0.2864,3491.43,KEM,True,2025-11-21T22:08:28.994085,,36
BIKE-L1,encap,0,16,3.5,1,1,0,ip-172-31-17-37,linux,0,0.3964,2523.0,KEM,True,2025-11-21T22:08:28.994504,,37
BIKE-L1,encap,0,16,3.5,1,1,0,ip-172-31-17-37,linux,0,0.2999,3334.99,KEM,True,2025-11-21T22:08:28.994829,,38
BIKE-L1,encap,0,16,3.5,1,1,0,ip-172-31-17-37,linux,0,0.3269,3059.28,KEM,True,2025-11-21T22:08:28.995183,,39
BIKE-L1,encap,0,16,3.5,1,1,0,ip-172-31-17-37,linux,0,0.4568,2189.32,KEM,True,2025-11-21T22:08:28.995663,,40
BIKE-L1,encap,0,64,3.5,1,1,0,ip-172-31-17-37,linux,0,0.2852,3505.76,KEM,True,2025-11-21T22:08:28.995971,,41
BIKE-L1,encap,0,64,3.5,1,1,0,ip-172-31-17-37,linux,0,0.2856,3501.43,KEM,True,2025-11-21T22:08:28.996279,,42
BIKE-L1,encap,0,64,3.5,1,1,0,ip-172-31-17-37,linux,0,0.4159,2404.23,KEM,True,2025-11-21T22:08:28.996718,,43
BIKE-L1,encap,0,64,3.5,1,1,0,ip-172-31-17-37,linux,0,0.2856,3501.46,KEM,True,2025-11-21T22:08:28.997026,,44
BIKE-L1,encap,0,64,3.5,1,1,0,ip-172-31-17-37,linux,0,0.284,3521.1,KEM,True,2025-11-21T22:08:28.997332,,45
BIKE-L1,encap,1024,1,3.5,1,1,0,ip-172-31-17-37,linux,0,0.2983,3352.55,KEM,True,2025-11-21T22:08:28.997654,,46
BIKE-L1,encap,1024,1,3.5,1,1,0,ip-172-31-17-37,linux,0,0.2852,3506.34,KEM,True,2025-11-21T22:08:28.997963,,47
BIKE-L1,encap,1024,1,3.5,1,1,0,ip-172-31-17-37,linux,0,0.2838,3523.04,KEM,True,2025-11-21T22:08:28.998269,,48
BIKE-L1,encap,1024,1,3.5,1,1,0,ip-172-31-17-37,linux,0,0.3068,3259.38,KEM,True,2025-11-21T22:08:28.998598,,49
BIKE-L1,encap,1024,1,3.5,1,1,0,ip-172-31-17-37,linux,0,0.4045,2472.34,KEM,True,2025-11-21T22:08:28.999025,,50
BIKE-L1,encap,1024,16,3.5,1,1,0,ip-172-31-17-37,linux,0,0.2837,3525.14,KEM,True,2025-11-21T22:08:28.999331,,51
BIKE-L1,encap,1024,16,3.5,1,1,0,ip-172-31-17-37,linux,0,0.2965,3372.57,KEM,True,2025-11-21T22:08:28.999651,,52
BIKE-L1,encap,1024,16,3.5,1,1,0,ip-172-31-17-37,linux,0,0.2854,3503.72,KEM,True,2025-11-21T22:08:28.999959,,53
BIKE-L1,encap,1024,16,3.5,1,1,0,ip-172-31-17-37,linux,0,0.3249,3077.72,KEM,True,2025-11-21T22:08:29.000305,,54
BIKE-L1,encap,1024,16,3.5,1,1,0,ip-172-31-17-37,linux,0,0.3371,2966.18,KEM,True,2025-11-21T22:08:29.000665,,55
BIKE-L1,encap,1024,64,3.5,1,1,0,ip-172-31-17-37,linux,0,0.286,3496.7,KEM,True,2025-11-21T22:08:29.000974,,56
BIKE-L1,encap,1024,64,3.5,1,1,0,ip-172-31-17-37,linux,0,0.2859,3497.9,KEM,True,2025-11-21T22:08:29.001282,,57
BIKE-L1,encap,1024,64,3.5,1,1,0,ip-172-31-17-37,linux,0,0.3401,2940.12,KEM,True,2025-11-21T22:08:29.001645,,58
BIKE-L1,encap,1024,64,3.5,1,1,0,ip-172-31-17-37,linux,0,0.3048,3280.59,KEM,True,2025-11-21T22:08:29.001974,,59
BIKE-L1,encap,1024,64,3.5,1,1,0,ip-172-31-17-37,linux,0,0.2872,3482.2,KEM,True,2025-11-21T22:08:29.002287,,60
BIKE-L1,decap,0,1,3.5,1,1,0,ip-172-31-17-37,linux,0,0.9025,1107.98,KEM,True,2025-11-21T22:08:29.003238,,61
BIKE-L1,decap,0,1,3.5,1,1,0,ip-172-31-17-37,linux,0,0.7925,1261.76,KEM,True,2025-11-21T22:08:29.004057,,62
BIKE-L1,decap,0,1,3.5,1,1,0,ip-172-31-17-37,linux,0,0.7905,1265.09,KEM,True,2025-11-21T22:08:29.004872,,63
BIKE-L1,decap,0,1,3.5,1,1,0,ip-172-31-17-37,linux,0,0.7853,1273.35,KEM,True,2025-11-21T22:08:29.005681,,64
BIKE-L1,decap,0,1,3.5,1,1,0,ip-172-31-17-37,linux,0,0.7834,1276.45,KEM,True,2025-11-21T22:08:29.006492,,65
BIKE-L1,decap,0,16,3.5,1,1,0,ip-172-31-17-37,linux,0,0.7866,1271.34,KEM,True,2025-11-21T22:08:29.007304,,66
BIKE-L1,decap,0,16,3.5,1,1,0,ip-172-31-17-37,linux,0,0.8637,1157.77,KEM,True,2025-11-21T22:08:29.008191,,67
BIKE-L1,decap,0,16,3.5,1,1,0,ip-172-31-17-37,linux,0,0.7848,1274.2,KEM,True,2025-11-21T22:08:29.008999,,68
BIKE-L1,decap,0,16,3.5,1,1,0,ip-172-31-17-37,linux,0,0.7851,1273.68,KEM,True,2025-11-21T22:08:29.009807,,69
BIKE-L1,decap,0,16,3.5,1,1,0,ip-172-31-17-37,linux,0,0.7992,1251.27,KEM,True,2025-11-21T22:08:29.010630,,70
BIKE-L1,decap,0,64,3.5,1,1,0,ip-172-31-17-37,linux,0,0.7743,1291.42,KEM,True,2025-11-21T22:08:29.011428,,71
BIKE-L1,decap,0,64,3.5,1,1,0,ip-172-31-17-37,linux,0,0.7873,1270.24,KEM,True,2025-11-21T22:08:29.012239,,72
BIKE-L1,decap,0,64,3.5,1,1,0,ip-172-31-17-37,linux,0,0.7885,1268.22,KEM,True,2025-11-21T22:08:29.013050,,73
BIKE-L1,decap,0,64,3.5,1,1,0,ip-172-31-17-37,linux,0,0.7874,1270.04,KEM,True,2025-11-21T22:08:29.013861,,74
BIKE-L1,decap,0,64,3.5,1,1,0,ip-172-31-17-37,linux,0,0.8107,1233.55,KEM,True,2025-11-21T22:08:29.014695,,75
BIKE-L1,decap,1024,1,3.5,1,1,0,ip-172-31-17-37,linux,0,0.8073,1238.75,KEM,True,2025-11-21T22:08:29.015555,,76
BIKE-L1,decap,1024,1,3.5,1,1,0,ip-172-31-17-37,linux,0,0.7747,1290.77,KEM,True,2025-11-21T22:08:29.016380,,77
BIKE-L1,decap,1024,1,3.5,1,1,0,ip-172-31-17-37,linux,0,0.8349,1197.73,KEM,True,2025-11-21T22:08:29.017240,,78
BIKE-L1,decap,1024,1,3.5,1,1,0,ip-172-31-17-37,linux,0,0.7861,1272.1,KEM,True,2025-11-21T22:08:29.018050,,79
BIKE-L1,decap,1024,1,3.5,1,1,0,ip-172-31-17-37,linux,0,1.0367,964.6,KEM,True,2025-11-21T22:08:29.019110,,80
BIKE-L1,decap,1024,16,3.5,1,1,0,ip-172-31-17-37,linux,0,0.7876,1269.62,KEM,True,2025-11-21T22:08:29.019923,,81
BIKE-L1,decap,1024,16,3.5,1,1,0,ip-172-31-17-37,linux,0,0.7899,1265.9,KEM,True,2025-11-21T22:08:29.020736,,82
BIKE-L1,decap,1024,16,3.5,1,1,0,ip-172-31-17-37,linux,0,0.7736,1292.72,KEM,True,2025-11-21T22:08:29.021533,,83
BIKE-L1,decap,1024,16,3.5,1,1,0,ip-172-31-17-37,linux,0,0.8778,1139.25,KEM,True,2025-11-21T22:08:29.022434,,84
BIKE-L1,decap,1024,16,3.5,1,1,0,ip-172-31-17-37,linux,0,0.804,1243.82,KEM,True,2025-11-21T22:08:29.023262,,85
BIKE-L1,decap,1024,64,3.5,1,1,0,ip-172-31-17-37,linux,0,0.7871,1270.54,KEM,True,2025-11-21T22:08:29.024073,,86
BIKE-L1,decap,1024,64,3.5,1,1,0,ip-172-31-17-37,linux,0,0.7881,1268.88,KEM,True,2025-11-21T22:08:29.024884,,87
BIKE-L1,decap,1024,64,3.5,1,1,0,ip-172-31-17-37,linux,0,0.7886,1268.06,KEM,True,2025-11-21T22:08:29.025696,,88
BIKE-L1,decap,1024,64,3.5,1,1,0,ip-172-31-17-37,linux,0,0.7843,1275.09,KEM,True,2025-11-21T22:08:29.026502,,89
BIKE-L1,decap,1024,64,3.5,1,1,0,ip-172-31-17-37,linux,0,0.7865,1271.42,KEM,True,2025-11-21T22:08:29.027312,,90
BIKE-L3,keygen,0,1,3.5,1,1,0,ip-172-31-17-37,linux,0,0.7237,1381.73,KEM,True,2025-11-21T22:08:29.028071,,91
BIKE-L3,keygen,0,1,3.5,1,1,0,ip-172-31-17-37,linux,0,0.6397,1563.29,KEM,True,2025-11-21T22:08:29.028739,,92
BIKE-L3,keygen,0,1,3.5,1,1,0,ip-172-31-17-37,linux,0,0.6222,1607.28,KEM,True,2025-11-21T22:08:29.029385,,93
BIKE-L3,keygen,0,1,3.5,1,1,0,ip-172-31-17-37,linux,0,0.6325,1581.03,KEM,True,2025-11-21T22:08:29.030041,,94
BIKE-L3,keygen,0,1,3.5,1,1,0,ip-172-31-17-37,linux,0,0.6418,1558.15,KEM,True,2025-11-21T22:08:29.030706,,95
BIKE-L3,keygen,0,16,3.5,1,1,0,ip-172-31-17-37,linux,0,0.6216,1608.72,KEM,True,2025-11-21T22:08:29.031351,,96
BIKE-L3,keygen,0,16,3.5,1,1,0,ip-172-31-17-37,linux,0,0.6317,1582.93,KEM,True,2025-11-21T22:08:29.032006,,97
BIKE-L3,keygen,0,16,3.5,1,1,0,ip-172-31-17-37,linux,0,0.6327,1580.61,KEM,True,2025-11-21T22:08:29.032662,,98
BIKE-L3,keygen,0,16,3.5,1,1,0,ip-172-31-17-37,linux,0,0.6192,1614.9,KEM,True,2025-11-21T22:08:29.033303,,99
BIKE-L3,keygen,0,16,3.5,1,1,0,ip-172-31-17-37,linux,0,0.6311,1584.5,KEM,True,2025-11-21T22:08:29.033957,,100
