algorithm,operation,message_bytes,concurrency,cpu_ghz,aesni,avx2,neon,machine_id,os_name,containerized,latency_ms,throughput_ops,crypto_type,correctness,timestamp,notes,trial_id
BIKE-L1,keygen,0,1,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.7687,1300.83,KEM,True,2025-11-20T22:36:03.573924,,1
BIKE-L1,keygen,0,1,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.324,3086.47,KEM,True,2025-11-20T22:36:03.574763,,2
BIKE-L1,keygen,0,1,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.25,3999.89,KEM,True,2025-11-20T22:36:03.575045,,3
BIKE-L1,keygen,0,1,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.223,4484.97,KEM,True,2025-11-20T22:36:03.575294,,4
BIKE-L1,keygen,0,1,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.2271,4404.2,KEM,True,2025-11-20T22:36:03.575545,,5
BIKE-L1,keygen,0,16,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.2192,4563.02,KEM,True,2025-11-20T22:36:03.575788,,6
BIKE-L1,keygen,0,16,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.2193,4560.23,KEM,True,2025-11-20T22:36:03.576030,,7
BIKE-L1,keygen,0,16,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.2199,4548.06,KEM,True,2025-11-20T22:36:03.576271,,8
BIKE-L1,keygen,0,16,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.217,4608.19,KEM,True,2025-11-20T22:36:03.576509,,9
BIKE-L1,keygen,0,16,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.2177,4593.98,KEM,True,2025-11-20T22:36:03.576748,,10
BIKE-L1,keygen,0,64,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.2175,4598.27,KEM,True,2025-11-20T22:36:03.576987,,11
BIKE-L1,keygen,0,64,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.2195,4555.12,KEM,True,2025-11-20T22:36:03.577229,,12
BIKE-L1,keygen,0,64,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.219,4567.07,KEM,True,2025-11-20T22:36:03.577471,,13
BIKE-L1,keygen,0,64,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.219,4566.34,KEM,True,2025-11-20T22:36:03.577711,,14
