algorithm,operation,message_bytes,concurrency,cpu_ghz,aesni,avx2,neon,machine_id,os_name,containerized,latency_ms,throughput_ops,crypto_type,correctness,timestamp,notes,trial_id
Dilithium2,sign,0,1,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,1.2456,802.8,Signature,True,2025-11-20T22:32:40.486951,,1
Dilithium2,sign,0,1,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.1651,6058.4,Signature,True,2025-11-20T22:32:40.487678,,2
Dilithium2,sign,0,1,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.1644,6081.43,Signature,True,2025-11-20T22:32:40.487976,,3
Dilithium2,sign,0,1,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.1524,6559.7,Signature,True,2025-11-20T22:32:40.488194,,4
Dilithium2,sign,0,1,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.1277,7833.12,Signature,True,2025-11-20T22:32:40.488405,,5
Dilithium2,sign,0,16,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.1369,7302.95,Signature,True,2025-11-20T22:32:40.488612,,6
Dilithium2,sign,0,16,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.2613,3826.98,Signature,True,2025-11-20T22:32:40.488930,,7
Dilithium2,sign,0,16,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.1335,7492.99,Signature,True,2025-11-20T22:32:40.489125,,8
Dilithium2,sign,0,16,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.2661,3758.38,Signature,True,2025-11-20T22:32:40.489446,,9
Dilithium2,sign,0,16,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.1473,6788.45,Signature,True,2025-11-20T22:32:40.489648,,10
Dilithium2,sign,0,64,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.1642,6091.88,Signature,True,2025-11-20T22:32:40.489868,,11
Dilithium2,sign,0,64,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.1267,7893.03,Signature,True,2025-11-20T22:32:40.490055,,12
Dilithium2,sign,0,64,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.1544,6476.56,Signature,True,2025-11-20T22:32:40.490269,,13
Dilithium2,sign,0,64,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.16,6248.2,Signature,True,2025-11-20T22:32:40.490487,,14
Dilithium2,sign,0,64,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.2366,4225.79,Signature,True,2025-11-20T22:32:40.490779,,15
Dilithium2,sign,1024,1,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.2066,4839.76,Signature,True,2025-11-20T22:32:40.491043,,16
Dilithium2,sign,1024,1,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.145,6898.55,Signature,True,2025-11-20T22:32:40.491247,,17
Dilithium2,sign,1024,1,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.1985,5038.34,Signature,True,2025-11-20T22:32:40.491508,,18
Dilithium2,sign,1024,1,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.1822,5488.66,Signature,True,2025-11-20T22:32:40.491746,,19
Dilithium2,sign,1024,1,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.1425,7018.68,Signature,True,2025-11-20T22:32:40.491944,,20
Dilithium2,sign,1024,16,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.1676,5966.66,Signature,True,2025-11-20T22:32:40.492168,,21
Dilithium2,sign,1024,16,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.2263,4418.76,Signature,True,2025-11-20T22:32:40.492450,,22
Dilithium2,sign,1024,16,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.1763,5670.7,Signature,True,2025-11-20T22:32:40.492682,,23
Dilithium2,sign,1024,16,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.2138,4677.05,Signature,True,2025-11-20T22:32:40.492951,,24
Dilithium2,sign,1024,16,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.2109,4740.62,Signature,True,2025-11-20T22:32:40.493217,,25
Dilithium2,sign,1024,64,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.2512,3980.42,Signature,True,2025-11-20T22:32:40.493524,,26
Dilithium2,sign,1024,64,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.163,6136.66,Signature,True,2025-11-20T22:32:40.493743,,27
Dilithium2,sign,1024,64,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.1588,6298.98,Signature,True,2025-11-20T22:32:40.493957,,28
Dilithium2,sign,1024,64,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.1966,5086.24,Signature,True,2025-11-20T22:32:40.494254,,29
Dilithium2,sign,1024,64,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.1523,6568.01,Signature,True,2025-11-20T22:32:40.494475,,30
Dilithium2,verify,0,1,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.1736,5758.81,Signature,True,2025-11-20T22:32:40.494711,,31
Dilithium2,verify,0,1,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.2569,3892.55,Signature,True,2025-11-20T22:32:40.495039,,32
Dilithium2,verify,0,1,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.2294,4359.26,Signature,True,2025-11-20T22:32:40.495357,,33
Dilithium2,verify,0,1,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.2937,3404.88,Signature,True,2025-11-20T22:32:40.495743,,34
Dilithium2,verify,0,1,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.4499,2222.55,Signature,True,2025-11-20T22:32:40.496298,,35
Dilithium2,verify,0,16,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.2511,3981.86,Signature,True,2025-11-20T22:32:40.496707,,36
Dilithium2,verify,0,16,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.4045,2472.21,Signature,True,2025-11-20T22:32:40.497243,,37
Dilithium2,verify,0,16,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.2557,3910.54,Signature,True,2025-11-20T22:32:40.497630,,38
Dilithium2,verify,0,16,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.191,5236.51,Signature,True,2025-11-20T22:32:40.497992,,39
Dilithium2,verify,0,16,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.2275,4394.89,Signature,True,2025-11-20T22:32:40.498340,,40
Dilithium2,verify,0,64,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.1489,6715.06,Signature,True,2025-11-20T22:32:40.498580,,41
Dilithium2,verify,0,64,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.2208,4528.23,Signature,True,2025-11-20T22:32:40.498867,,42
Dilithium2,verify,0,64,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.362,2762.81,Signature,True,2025-11-20T22:32:40.499430,,43
Dilithium2,verify,0,64,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.2525,3959.88,Signature,True,2025-11-20T22:32:40.499864,,44
Dilithium2,verify,0,64,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.1595,6270.03,Signature,True,2025-11-20T22:32:40.500128,,45
Dilithium2,verify,1024,1,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.2332,4287.8,Signature,True,2025-11-20T22:32:40.500438,,46
Dilithium2,verify,1024,1,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.3788,2640.2,Signature,True,2025-11-20T22:32:40.500891,,47
Dilithium2,verify,1024,1,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.1756,5696.32,Signature,True,2025-11-20T22:32:40.501181,,48
Dilithium2,verify,1024,1,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.2206,4533.93,Signature,True,2025-11-20T22:32:40.501474,,49
Dilithium2,verify,1024,1,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.3783,2643.36,Signature,True,2025-11-20T22:32:40.501934,,50
Dilithium2,verify,1024,16,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.1966,5085.72,Signature,True,2025-11-20T22:32:40.502226,,51
Dilithium2,verify,1024,16,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.1997,5008.06,Signature,True,2025-11-20T22:32:40.502500,,52
Dilithium2,verify,1024,16,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.1429,6999.03,Signature,True,2025-11-20T22:32:40.502737,,53
Dilithium2,verify,1024,16,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.1883,5311.21,Signature,True,2025-11-20T22:32:40.503034,,54
Dilithium2,verify,1024,16,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.1803,5545.05,Signature,True,2025-11-20T22:32:40.503275,,55
Dilithium2,verify,1024,64,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.148,6756.58,Signature,True,2025-11-20T22:32:40.503481,,56
Dilithium2,verify,1024,64,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.1299,7697.04,Signature,True,2025-11-20T22:32:40.503712,,57
Dilithium2,verify,1024,64,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.225,4444.27,Signature,True,2025-11-20T22:32:40.504013,,58
Dilithium2,verify,1024,64,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.1995,5013.34,Signature,True,2025-11-20T22:32:40.504305,,59
Dilithium2,verify,1024,64,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.179,5587.75,Signature,True,2025-11-20T22:32:40.504573,,60
Dilithium3,sign,0,1,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.3995,2503.4,Signature,True,2025-11-20T22:32:40.505047,,61
Dilithium3,sign,0,1,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.3046,3283.28,Signature,True,2025-11-20T22:32:40.505561,,62
Dilithium3,sign,0,1,2.0,1,1,0,MacBook-Pro-4.local,darwin,0,0.2408,4152.75,Signature,True,2025-11-20T22:32:40.505895,,63
