algorithm,operation,message_bytes,concurrency,cpu_ghz,aesni,avx2,neon,machine_id,os_name,containerized,latency_ms,throughput_ops,crypto_type,correctness,timestamp,notes,trial_id
Dilithium2,sign,0,1,0.0,1,1,0,QPC,windows,0,0.5243,1907.3,Signature,True,2025-11-23T02:25:57.264037,,1
Dilithium2,sign,0,1,0.0,1,1,0,QPC,windows,0,0.5315,1881.47,Signature,True,2025-11-23T02:25:57.264691,,2
Dilithium2,sign,0,1,0.0,1,1,0,QPC,windows,0,0.3427,2918.0,Signature,True,2025-11-23T02:25:57.265131,,3
Dilithium2,sign,0,1,0.0,1,1,0,QPC,windows,0,0.3371,2966.48,Signature,True,2025-11-23T02:25:57.265560,,4
Dilithium2,sign,0,1,0.0,1,1,0,QPC,windows,0,0.6018,1661.68,Signature,True,2025-11-23T02:25:57.266254,,5
Dilithium2,sign,0,16,0.0,1,1,0,QPC,windows,0,0.7861,1272.1,Signature,True,2025-11-23T02:25:57.267139,,6
Dilithium2,sign,0,16,0.0,1,1,0,QPC,windows,0,0.2888,3462.6,Signature,True,2025-11-23T02:25:57.267513,,7
Dilithium2,sign,0,16,0.0,1,1,0,QPC,windows,0,0.3794,2635.74,Signature,True,2025-11-23T02:25:57.267975,,8
Dilithium2,sign,0,16,0.0,1,1,0,QPC,windows,0,0.3457,2892.68,Signature,True,2025-11-23T02:25:57.268409,,9
Dilithium2,sign,0,16,0.0,1,1,0,QPC,windows,0,0.4378,2284.15,Signature,True,2025-11-23T02:25:57.268932,,10
Dilithium2,sign,0,64,0.0,1,1,0,QPC,windows,0,0.629,1589.83,Signature,True,2025-11-23T02:25:57.269663,,11
Dilithium2,sign,0,64,0.0,1,1,0,QPC,windows,0,0.3788,2639.92,Signature,True,2025-11-23T02:25:57.270185,,12
Dilithium2,sign,0,64,0.0,1,1,0,QPC,windows,0,0.2962,3376.1,Signature,True,2025-11-23T02:25:57.270584,,13
Dilithium2,sign,0,64,0.0,1,1,0,QPC,windows,0,0.5548,1802.45,Signature,True,2025-11-23T02:25:57.271222,,14
Dilithium2,sign,0,64,0.0,1,1,0,QPC,windows,0,0.392,2551.02,Signature,True,2025-11-23T02:25:57.271694,,15
Dilithium2,sign,1024,1,0.0,1,1,0,QPC,windows,0,0.5065,1974.33,Signature,True,2025-11-23T02:25:57.272281,,16
Dilithium2,sign,1024,1,0.0,1,1,0,QPC,windows,0,0.351,2849.0,Signature,True,2025-11-23T02:25:57.272716,,17
Dilithium2,sign,1024,1,0.0,1,1,0,QPC,windows,0,0.2945,3395.59,Signature,True,2025-11-23T02:25:57.273092,,18
Dilithium2,sign,1024,1,0.0,1,1,0,QPC,windows,0,0.4879,2049.6,Signature,True,2025-11-23T02:25:57.273661,,19
Dilithium2,sign,1024,1,0.0,1,1,0,QPC,windows,0,0.2922,3422.31,Signature,True,2025-11-23T02:25:57.274034,,20
Dilithium2,sign,1024,16,0.0,1,1,0,QPC,windows,0,0.3945,2534.85,Signature,True,2025-11-23T02:25:57.274509,,21
Dilithium2,sign,1024,16,0.0,1,1,0,QPC,windows,0,0.3376,2962.09,Signature,True,2025-11-23T02:25:57.274926,,22
Dilithium2,sign,1024,16,0.0,1,1,0,QPC,windows,0,0.2924,3419.97,Signature,True,2025-11-23T02:25:57.275299,,23
Dilithium2,sign,1024,16,0.0,1,1,0,QPC,windows,0,0.4283,2334.81,Signature,True,2025-11-23T02:25:57.276045,,24
Dilithium2,sign,1024,16,0.0,1,1,0,QPC,windows,0,0.3467,2884.34,Signature,True,2025-11-23T02:25:57.276490,,25
Dilithium2,sign,1024,64,0.0,1,1,0,QPC,windows,0,0.3475,2877.7,Signature,True,2025-11-23T02:25:57.276922,,26
Dilithium2,sign,1024,64,0.0,1,1,0,QPC,windows,0,0.7906,1264.86,Signature,True,2025-11-23T02:25:57.277794,,27
