algorithm,param_set,operation,message_bytes,concurrency,cpu_ghz,aesni,avx2,neon,machine_id,os_name,containerized,latency_ms,throughput_ops,crypto_type,correctness,timestamp,notes,trial_id
BIKE-L1,512,keygen,0,1,0.0,0,0,0,MacBook-Pro-4.local,darwin,0,15.2143,65.61,,,2025-11-17T02:47:56.512426,,1
BIKE-L1,512,keygen,0,1,0.0,0,0,0,MacBook-Pro-4.local,darwin,0,15.2592,63.23,,,2025-11-17T02:47:56.512808,,2
BIKE-L1,512,keygen,0,1,0.0,0,0,0,MacBook-Pro-4.local,darwin,0,13.8831,75.35,,,2025-11-17T02:47:56.512828,,3
BIKE-L1,512,keygen,0,1,0.0,0,0,0,MacBook-Pro-4.local,darwin,0,14.039,70.29,,,2025-11-17T02:47:56.512843,,4
BIKE-L1,512,keygen,0,1,0.0,0,0,0,MacBook-Pro-4.local,darwin,0,13.9344,73.26,,,2025-11-17T02:47:56.512855,,5
BIKE-L1,512,keygen,0,16,0.0,0,0,0,MacBook-Pro-4.local,darwin,0,14.8377,70.22,,,2025-11-17T02:47:56.512873,,6
BIKE-L1,512,keygen,0,16,0.0,0,0,0,MacBook-Pro-4.local,darwin,0,14.0381,68.52,,,2025-11-17T02:47:56.512885,,7
BIKE-L1,512,keygen,0,16,0.0,0,0,0,MacBook-Pro-4.local,darwin,0,15.7449,60.86,,,2025-11-17T02:47:56.512896,,8
BIKE-L1,512,keygen,0,16,0.0,0,0,0,MacBook-Pro-4.local,darwin,0,13.8241,72.77,,,2025-11-17T02:47:56.512907,,9
BIKE-L1,512,keygen,0,16,0.0,0,0,0,MacBook-Pro-4.local,darwin,0,15.2512,65.39,,,2025-11-17T02:47:56.512918,,10
BIKE-L1,512,keygen,0,64,0.0,0,0,0,MacBook-Pro-4.local,darwin,0,15.1495,65.46,,,2025-11-17T02:47:56.512933,,11
BIKE-L1,512,keygen,0,64,0.0,0,0,0,MacBook-Pro-4.local,darwin,0,16.4282,60.12,,,2025-11-17T02:47:56.512944,,12
BIKE-L1,512,keygen,0,64,0.0,0,0,0,MacBook-Pro-4.local,darwin,0,16.3723,63.29,,,2025-11-17T02:47:56.512955,,13
BIKE-L1,512,keygen,0,64,0.0,0,0,0,MacBook-Pro-4.local,darwin,0,15.6829,64.6,,,2025-11-17T02:47:56.512965,,14
BIKE-L1,512,keygen,0,64,0.0,0,0,0,MacBook-Pro-4.local,darwin,0,15.8128,64.11,,,2025-11-17T02:47:56.512976,,15
BIKE-L1,512,keygen,1024,1,0.0,0,0,0,MacBook-Pro-4.local,darwin,0,15.4538,63.92,,,2025-11-17T02:47:56.512992,,16
BIKE-L1,512,keygen,1024,1,0.0,0,0,0,MacBook-Pro-4.local,darwin,0,15.9151,62.75,,,2025-11-17T02:47:56.513007,,17
BIKE-L1,512,keygen,1024,1,0.0,0,0,0,MacBook-Pro-4.local,darwin,0,15.7291,61.2,,,2025-11-17T02:47:56.513019,,18
BIKE-L1,512,keygen,1024,1,0.0,0,0,0,MacBook-Pro-4.local,darwin,0,16.1328,63.6,,,2025-11-17T02:47:56.513030,,19
BIKE-L1,512,keygen,1024,1,0.0,0,0,0,MacBook-Pro-4.local,darwin,0,15.674,66.69,,,2025-11-17T02:47:56.513040,,20
BIKE-L1,512,keygen,1024,16,0.0,0,0,0,MacBook-Pro-4.local,darwin,0,16.78,59.45,,,2025-11-17T02:47:56.513054,,21
BIKE-L1,512,keygen,1024,16,0.0,0,0,0,MacBook-Pro-4.local,darwin,0,16.2685,63.67,,,2025-11-17T02:47:56.513066,,22
BIKE-L1,512,keygen,1024,16,0.0,0,0,0,MacBook-Pro-4.local,darwin,0,17.014,57.17,,,2025-11-17T02:47:56.513077,,23
BIKE-L1,512,keygen,1024,16,0.0,0,0,0,MacBook-Pro-4.local,darwin,0,17.374,57.29,,,2025-11-17T02:47:56.513087,,24
BIKE-L1,512,keygen,1024,16,0.0,0,0,0,MacBook-Pro-4.local,darwin,0,17.8588,54.97,,,2025-11-17T02:47:56.513098,,25
BIKE-L1,512,keygen,1024,64,0.0,0,0,0,MacBook-Pro-4.local,darwin,0,17.659,57.08,,,2025-11-17T02:47:56.513111,,26
BIKE-L1,512,keygen,1024,64,0.0,0,0,0,MacBook-Pro-4.local,darwin,0,18.546,52.75,,,2025-11-17T02:47:56.513122,,27
BIKE-L1,512,keygen,1024,64,0.0,0,0,0,MacBook-Pro-4.local,darwin,0,18.4312,55.35,,,2025-11-17T02:47:56.513133,,28
BIKE-L1,512,keygen,1024,64,0.0,0,0,0,MacBook-Pro-4.local,darwin,0,17.5087,55.77,,,2025-11-17T02:47:56.513143,,29
BIKE-L1,512,keygen,1024,64,0.0,0,0,0,MacBook-Pro-4.local,darwin,0,17.5093,57.69,,,2025-11-17T02:47:56.513154,,30
BIKE-L1,512,encap,0,1,0.0,0,0,0,MacBook-Pro-4.local,darwin,0,12.494,82.85,,,2025-11-17T02:47:56.513168,,31
BIKE-L1,512,encap,0,1,0.0,0,0,0,MacBook-Pro-4.local,darwin,0,11.876,82.15,,,2025-11-17T02:47:56.513180,,32
BIKE-L1,512,encap,0,1,0.0,0,0,0,MacBook-Pro-4.local,darwin,0,12.8767,75.02,,,2025-11-17T02:47:56.513192,,33
BIKE-L1,512,encap,0,1,0.0,0,0,0,MacBook-Pro-4.local,darwin,0,12.1457,83.62,,,2025-11-17T02:47:56.513203,,34
BIKE-L1,512,encap,0,1,0.0,0,0,0,MacBook-Pro-4.local,darwin,0,11.3761,87.02,,,2025-11-17T02:47:56.513215,,35
BIKE-L1,512,encap,0,16,0.0,0,0,0,MacBook-Pro-4.local,darwin,0,12.7261,76.96,,,2025-11-17T02:47:56.513228,,36
BIKE-L1,512,encap,0,16,0.0,0,0,0,MacBook-Pro-4.local,darwin,0,12.2847,82.02,,,2025-11-17T02:47:56.513239,,37
BIKE-L1,512,encap,0,16,0.0,0,0,0,MacBook-Pro-4.local,darwin,0,13.6096,74.11,,,2025-11-17T02:47:56.513251,,38
BIKE-L1,512,encap,0,16,0.0,0,0,0,MacBook-Pro-4.local,darwin,0,12.5773,82.01,,,2025-11-17T02:47:56.513261,,39
BIKE-L1,512,encap,0,16,0.0,0,0,0,MacBook-Pro-4.local,darwin,0,12.0945,83.85,,,2025-11-17T02:47:56.513272,,40
BIKE-L1,512,encap,0,64,0.0,0,0,0,MacBook-Pro-4.local,darwin,0,13.5353,71.37,,,2025-11-17T02:47:56.513286,,41
BIKE-L1,512,encap,0,64,0.0,0,0,0,MacBook-Pro-4.local,darwin,0,13.3508,71.45,,,2025-11-17T02:47:56.513299,,42
