alg_family,param_set,operation,message_bytes,concurrency,cpu_ghz,aesni,avx2,neon,machine_id,os_name,containerized,latency_ms,throughput_ops,timestamp,notes,trial_id
ML-KEM,512,keygen,0,1,0.0,0,0,0,MacBook-Pro-4.local,darwin,0,12.3884,83.13,2025-11-10T19:49:38.702174,,1
ML-KEM,512,keygen,0,1,0.0,0,0,0,MacBook-Pro-4.local,darwin,0,12.5829,79.56,2025-11-10T19:49:38.702658,,2
ML-KEM,512,keygen,0,1,0.0,0,0,0,MacBook-Pro-4.local,darwin,0,11.7666,82.75,2025-11-10T19:49:38.702676,,3
ML-KEM,512,keygen,0,1,0.0,0,0,0,MacBook-Pro-4.local,darwin,0,12.251,78.76,2025-11-10T19:49:38.702688,,4
ML-KEM,512,keygen,0,1,0.0,0,0,0,MacBook-Pro-4.local,darwin,0,11.754,88.72,2025-11-10T19:49:38.702699,,5
ML-KEM,512,keygen,0,16,0.0,0,0,0,MacBook-Pro-4.local,darwin,0,12.4666,83.12,2025-11-10T19:49:38.702727,,6
ML-KEM,512,keygen,0,16,0.0,0,0,0,MacBook-Pro-4.local,darwin,0,12.9824,77.27,2025-11-10T19:49:38.702737,,7
ML-KEM,512,keygen,0,16,0.0,0,0,0,MacBook-Pro-4.local,darwin,0,12.3241,77.35,2025-11-10T19:49:38.702747,,8
ML-KEM,512,keygen,0,16,0.0,0,0,0,MacBook-Pro-4.local,darwin,0,11.6277,84.44,2025-11-10T19:49:38.702756,,9
ML-KEM,512,keygen,0,16,0.0,0,0,0,MacBook-Pro-4.local,darwin,0,13.0837,79.31,2025-11-10T19:49:38.702766,,10
ML-KEM,512,keygen,0,64,0.0,0,0,0,MacBook-Pro-4.local,darwin,0,13.6511,72.1,2025-11-10T19:49:38.702781,,11
ML-KEM,512,keygen,0,64,0.0,0,0,0,MacBook-Pro-4.local,darwin,0,13.5707,72.41,2025-11-10T19:49:38.702791,,12
ML-KEM,512,keygen,0,64,0.0,0,0,0,MacBook-Pro-4.local,darwin,0,13.4723,75.61,2025-11-10T19:49:38.702801,,13
ML-KEM,512,keygen,0,64,0.0,0,0,0,MacBook-Pro-4.local,darwin,0,13.3073,72.21,2025-11-10T19:49:38.702810,,14
ML-KEM,512,keygen,0,64,0.0,0,0,0,MacBook-Pro-4.local,darwin,0,13.4165,74.26,2025-11-10T19:49:38.702819,,15
ML-KEM,512,keygen,1024,1,0.0,0,0,0,MacBook-Pro-4.local,darwin,0,13.2857,73.93,2025-11-10T19:49:38.702834,,16
ML-KEM,512,keygen,1024,1,0.0,0,0,0,MacBook-Pro-4.local,darwin,0,14.4063,68.93,2025-11-10T19:49:38.702845,,17
